#scene numphotons hitphotons frame nodes time
t2 100000 6823 0 2 40.1173
t2 100000 6168 1 2 49.2928
t2 100000 6308 2 2 78.4178
t2 100000 6841 3 2 129.108
t2 100000 8184 4 2 191.403


t2 100000 4523 0 3 14.025
t2 100000 4066 1 3 16.799
t2 100000 4194 2 3 24.926
t2 100000 4569 3 3 39.571
t2 100000 5498 4 3 61.622

t2 100000 3375 0 4 7.529
t2 100000 3051 1 4 8.385
t2 100000 3160 2 4 11.974
t2 100000 3447 3 4 17.716
t2 100000 3920 4 4 22.752

t2 100000 2676 0 5 4.730
t2 100000 2396 1 5 5.151
t2 100000 2465 2 5 6.993
t2 100000 2716 3 5 10.113
t2 100000 3123 4 5 13.029

t2 100000 2183 0 6 3.353
t2 100000 2014 1 6 3.584
t2 100000 2044 2 6 4.571
t2 100000 2262 3 6 6.550
t2 100000 2607 4 6 8.168

t2 100000 1935 0 7 2.564
t2 100000 1752 1 7 2.798
t2 100000 1751 2 7 3.347
t2 100000 1947 3 7 4.521
t2 100000 2375 4 7 6.126

t2 100000 1711 0 8 2.113
t2 100000 1564 1 8 2.276
t2 100000 1492 2 8 2.492
t2 100000 1637 3 8 3.302
t2 100000 2053 4 8 4.470

t2 100000 1404 0 10 1.700
t2 100000 1265 1 10 1.602
t2 100000 1229 2 10 1.729
t2 100000 1351 3 10 2.212
t2 100000 1845 4 10 3.167

t2 100000 1127 0 12 1.316
t2 100000 1074 1 12 1.288
t2 100000 1013 2 12 1.390
t2 100000 1144 3 12 1.689
t2 100000 1534 4 12 2.178

t2 100000 1025 0 14 1.123
t2 100000 925 1 14 1.074
t2 100000 891 2 14 1.134
t2 100000 1000 3 14 1.356
t2 100000 1280 4 14 1.617

t2 100000 906 0 16 0.964
t2 100000 797 1 16 0.904
t2 100000 784 2 16 0.939
t2 100000 842 3 16 1.064
t2 100000 1133 4 16 1.266

t2 100000 783 0 18 0.853
t2 100000 673 1 18 0.796
t2 100000 679 2 18 0.821
t2 100000 743 3 18 0.929
t2 100000 1153 4 18 1.162
