#scene numphotons hitphotons frame nodes time0 time1 time2 time3 time4 avg speedup efficiency
t2 100000 13531 0 1 187.767 250.954 405.62 405.62 405.62 331.1162 1 1
t2 100000 6823 0 2 40.1173 49.2928 78.4178 129.108 191.403 97.66778 3.39 169.5
t2 100000 4523 0 3 14.025 16.799 24.926 39.571 61.622 31.3886 37.66632 8.7907765 2.93 6.05
t2 100000 3375 0 4 7.529 8.385 11.974 17.716 22.752 13.6712 24.219981 6.0549953
t2 100000 2676 0 5 4.730 5.151 6.993 10.113 13.029 8.0032 41.372976 8.2745952
t2 100000 2183 0 6 3.353 3.584 4.571 6.550 8.168 5.2452 63.127469 10.521245
t2 100000 1935 0 7 2.564 2.798 3.347 4.521 6.126 4.0712 81.331352 11.618765
t2 100000 1711 0 8 2.113 2.276 2.492 3.302 4.470 2.9306 112.9858 14.123225
t2 100000 1404 0 10 1.700 1.602 1.729 2.212 3.167 2.082 159.03756 15.903756
t2 100000 1127 0 12 1.316 1.288 1.390 1.689 2.178 1.5722 210.60692 17.550577
t2 100000 1025 0 14 1.123 1.074 1.134 1.356 1.617 1.2608 262.62389 18.758849
t2 100000 906 0 16 0.964 0.904 0.939 1.064 1.266 1.0274 322.28558 20.142849
t2 100000 783 0 18 0.853 0.796 0.821 0.929 1.162 0.9122 362.98641 20.165912

